step,predicted_scaled,actual_scaled,residual_error,threshold,status,processing_time_ms,predicted_raw,actual_raw
169,0.2457,0.3347,0.089,0.05,ANOMALY,366.259,47.9,54.88
170,0.243,0.3112,0.0682,0.05,ANOMALY,353.32,47.69,53.04
171,0.2493,0.3533,0.104,0.05,ANOMALY,359.598,48.18,56.34
172,0.2411,0.3188,0.0777,0.05,ANOMALY,364.479,47.54,53.64
173,0.24,0.2894,0.0494,0.05,NORMAL,344.183,47.45,51.32
174,0.2277,0.2874,0.0597,0.05,ANOMALY,382.338,46.49,51.17
175,0.2226,0.3429,0.1202,0.05,ANOMALY,373.542,46.09,55.52
176,0.2224,0.3967,0.1743,0.05,ANOMALY,375.749,46.07,59.74
177,0.2262,0.3424,0.1162,0.05,ANOMALY,348.557,46.37,55.48
178,0.2286,0.3317,0.1031,0.05,ANOMALY,372.261,46.56,54.64
179,0.2318,0.3472,0.1154,0.05,ANOMALY,355.766,46.81,55.86
180,0.2387,0.3862,0.1475,0.05,ANOMALY,361.305,47.35,58.92
181,0.242,0.3446,0.1026,0.05,ANOMALY,369.163,47.61,55.66
182,0.2452,0.3205,0.0753,0.05,ANOMALY,373.671,47.86,53.77
183,0.2411,0.3786,0.1375,0.05,ANOMALY,342.32,47.54,58.32
184,0.245,0.3527,0.1077,0.05,ANOMALY,361.728,47.84,56.29
185,0.2465,0.395,0.1485,0.05,ANOMALY,357.023,47.96,59.61
186,0.2465,0.3433,0.0967,0.05,ANOMALY,395.733,47.97,55.55
187,0.2473,0.2894,0.0421,0.05,NORMAL,349.267,48.03,51.33
188,0.2466,0.2839,0.0373,0.05,NORMAL,355.504,47.97,50.9
189,0.25,0.3994,0.1494,0.05,ANOMALY,354.324,48.24,59.95
190,0.2515,0.4022,0.1506,0.05,ANOMALY,393.761,48.36,60.17
191,0.251,0.3294,0.0784,0.05,ANOMALY,378.451,48.32,54.46
192,0.2539,0.3216,0.0677,0.05,ANOMALY,351.583,48.54,53.85
193,0.2581,0.3922,0.1341,0.05,ANOMALY,354.827,48.87,59.38
194,0.2621,0.2939,0.0318,0.05,NORMAL,375.348,49.18,51.68
195,0.2614,0.302,0.0406,0.05,NORMAL,373.784,49.13,52.32
196,0.26,0.3609,0.1009,0.05,ANOMALY,366.097,49.02,56.93
197,0.2581,0.3212,0.0631,0.05,ANOMALY,360.189,48.87,53.82
198,0.2539,0.3361,0.0822,0.05,ANOMALY,368.174,48.54,54.98
199,0.2482,0.33,0.0818,0.05,ANOMALY,358.775,48.09,54.51
